emoji,short_name,codepoints,keywords,category,subcategory,sort_order
😀,grinning_face,1F600,grinning face,Smileys & Emotion,face-smiling,1
😃,grinning_face_with_big_eyes,1F603,grinning face with big eyes,Smileys & Emotion,face-smiling,2
😄,grinning_face_with_smiling_eyes,1F604,grinning face with smiling eyes,Smileys & Emotion,face-smiling,3
😁,beaming_face_with_smiling_eyes,1F601,beaming face with smiling eyes,Smileys & Emotion,face-smiling,4
😆,grinning_squinting_face,1F606,grinning squinting face,Smileys & Emotion,face-smiling,5
😅,grinning_face_with_sweat,1F605,grinning face with sweat,Smileys & Emotion,face-smiling,6
🤣,rolling_on_the_floor_laughing,1F923,rolling on the floor laughing,Smileys & Emotion,face-smiling,7
😂,face_with_tears_of_joy,1F602,face with tears of joy,Smileys & Emotion,face-smiling,8
🙂,slightly_smiling_face,1F642,slightly smiling face,Smileys & Emotion,face-smiling,9
🙃,upside_down_face,1F643,upside down face,Smileys & Emotion,face-smiling,10
🫠,melting_face,1FAE0,melting face,Smileys & Emotion,face-smiling,11
😉,winking_face,1F609,winking face,Smileys & Emotion,face-smiling,12
😊,smiling_face_with_smiling_eyes,1F60A,smiling face with eyes,Smileys & Emotion,face-smiling,13
😇,smiling_face_with_halo,1F607,smiling face with halo,Smileys & Emotion,face-smiling,14
🥰,smiling_face_with_hearts,1F970,smiling face with hearts,Smileys & Emotion,face-affection,15
😍,smiling_face_with_heart_eyes,1F60D,smiling face with heart eyes,Smileys & Emotion,face-affection,16
🤩,star_struck,1F929,star struck,Smileys & Emotion,face-affection,17
😘,face_blowing_a_kiss,1F618,face blowing a kiss,Smileys & Emotion,face-affection,18
😗,kissing_face,1F617,kissing face,Smileys & Emotion,face-affection,19
☺️,smiling_face,263A FE0F,smiling face,Smileys & Emotion,face-affection,20
😚,kissing_face_with_closed_eyes,1F61A,kissing face with closed eyes,Smileys & Emotion,face-affection,21
😙,kissing_face_with_smiling_eyes,1F619,kissing face with smiling eyes,Smileys & Emotion,face-affection,22
🥲,smiling_face_with_tear,1F972,smiling face with tear,Smileys & Emotion,face-affection,23
😋,face_savoring_food,1F60B,face savoring food,Smileys & Emotion,face-tongue,24
😛,face_with_tongue,1F61B,face with tongue,Smileys & Emotion,face-tongue,25
😜,winking_face_with_tongue,1F61C,winking face with tongue,Smileys & Emotion,face-tongue,26
🤪,zany_face,1F92A,zany face,Smileys & Emotion,face-tongue,27
😝,squinting_face_with_tongue,1F61D,squinting face with tongue,Smileys & Emotion,face-tongue,28
🤑,money_mouth_face,1F911,money mouth face,Smileys & Emotion,face-tongue,29
🤗,smiling_face_with_open_hands,1F917,smiling face with open hands,Smileys & Emotion,face-hand,30
🤭,face_with_hand_over_mouth,1F92D,face with hand over mouth,Smileys & Emotion,face-hand,31
🫢,face_with_open_eyes_and_hand_over_mouth,1FAE2,face with open eyes and hand over mouth,Smileys & Emotion,face-hand,32
🫣,face_with_peeking_eye,1FAE3,face with peeking eye,Smileys & Emotion,face-hand,33
🤫,shushing_face,1F92B,shushing face,Smileys & Emotion,face-hand,34
🤔,thinking_face,1F914,thinking face,Smileys & Emotion,face-hand,35
🫡,saluting_face,1FAE1,saluting face,Smileys & Emotion,face-hand,36
🤐,zipper_mouth_face,1F910,zipper mouth face,Smileys & Emotion,face-neutral-skeptical,37
🤨,face_with_raised_eyebrow,1F928,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,38
😐️,neutral_face,1F610 FE0F,neutral face,Smileys & Emotion,face-neutral-skeptical,39
😑,expressionless_face,1F611,expressionless face,Smileys & Emotion,face-neutral-skeptical,40
😶,face_without_mouth,1F636,face without mouth,Smileys & Emotion,face-neutral-skeptical,41
🫥,dotted_line_face,1FAE5,dotted line face,Smileys & Emotion,face-neutral-skeptical,42
😶‍🌫️,face_in_clouds,1F636 200D 1F32B FE0F,face in clouds,Smileys & Emotion,face-neutral-skeptical,43
😏,smirking_face,1F60F,smirking face,Smileys & Emotion,face-neutral-skeptical,44
😒,unamused_face,1F612,unamused face,Smileys & Emotion,face-neutral-skeptical,45
🙄,face_with_rolling_eyes,1F644,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,46
😬,grimacing_face,1F62C,grimacing face,Smileys & Emotion,face-neutral-skeptical,47
😮‍💨,face_exhaling,1F62E 200D 1F4A8,face exhaling,Smileys & Emotion,face-neutral-skeptical,48
🤥,lying_face,1F925,lying face,Smileys & Emotion,face-neutral-skeptical,49
🫨,shaking_face,1FAE8,shaking face,Smileys & Emotion,face-neutral-skeptical,50
🙂‍↔️,head_shaking_horizontally,1F642 200D 2194 FE0F,head shaking horizontally,Smileys & Emotion,face-neutral-skeptical,51
🙂‍↕️,head_shaking_vertically,1F642 200D 2195 FE0F,head shaking vertically,Smileys & Emotion,face-neutral-skeptical,52
😌,relieved_face,1F60C,relieved face,Smileys & Emotion,face-sleepy,53
😔,pensive_face,1F614,pensive face,Smileys & Emotion,face-sleepy,54
😪,sleepy_face,1F62A,sleepy face,Smileys & Emotion,face-sleepy,55
🤤,drooling_face,1F924,drooling face,Smileys & Emotion,face-sleepy,56
😴,sleeping_face,1F634,sleeping face,Smileys & Emotion,face-sleepy,57
🫩,face_with_bags_under_eyes,1FAE9,face with bags under eyes,Smileys & Emotion,face-sleepy,58
😷,face_with_medical_mask,1F637,face with medical mask,Smileys & Emotion,face-unwell,59
🤒,face_with_thermometer,1F912,face with thermometer,Smileys & Emotion,face-unwell,60
🤕,face_with_head_bandage,1F915,face with head bandage,Smileys & Emotion,face-unwell,61
🤢,nauseated_face,1F922,nauseated face,Smileys & Emotion,face-unwell,62
🤮,face_vomiting,1F92E,face vomiting,Smileys & Emotion,face-unwell,63
🤧,sneezing_face,1F927,sneezing face,Smileys & Emotion,face-unwell,64
🥵,hot_face,1F975,hot face,Smileys & Emotion,face-unwell,65
🥶,cold_face,1F976,cold face,Smileys & Emotion,face-unwell,66
🥴,woozy_face,1F974,woozy face,Smileys & Emotion,face-unwell,67
😵,face_with_crossed_out_eyes,1F635,face with crossed out eyes,Smileys & Emotion,face-unwell,68
😵‍💫,face_with_spiral_eyes,1F635 200D 1F4AB,face with spiral eyes,Smileys & Emotion,face-unwell,69
🤯,exploding_head,1F92F,exploding head,Smileys & Emotion,face-unwell,70
🤠,cowboy_hat_face,1F920,cowboy hat face,Smileys & Emotion,face-hat,71
🥳,partying_face,1F973,partying face,Smileys & Emotion,face-hat,72
🥸,disguised_face,1F978,disguised face,Smileys & Emotion,face-hat,73
